date,total_usd_millions,cumulative_usd_millions
2024-07-23,213.2,213.2
2024-07-24,-266.59999999999997,-53.39999999999998
2024-07-25,-304.8,-358.2
2024-07-26,-325.4,-683.5999999999999
2024-07-27,0.0,-683.5999999999999
2024-07-28,0.0,-683.5999999999999
2024-07-29,-196.59999999999997,-880.1999999999998
2024-07-30,67.4,-812.7999999999998
2024-07-31,-154.40000000000003,-967.1999999999998
2024-08-01,53.400000000000006,-913.7999999999998
2024-08-02,-108.6,-1022.3999999999999
2024-08-03,0.0,-1022.3999999999999
2024-08-04,0.0,-1022.3999999999999
2024-08-05,97.6,-924.7999999999998
2024-08-06,196.8,-727.9999999999998
2024-08-07,-47.39999999999999,-775.3999999999997
2024-08-08,-5.8000000000000025,-781.1999999999997
2024-08-09,-31.6,-812.7999999999997
2024-08-10,0.0,-812.7999999999997
2024-08-11,0.0,-812.7999999999997
2024-08-12,10.0,-802.7999999999997
2024-08-13,48.599999999999994,-754.1999999999997
2024-08-14,21.600000000000005,-732.5999999999997
2024-08-15,-78.4,-810.9999999999997
2024-08-16,-30.0,-840.9999999999997
2024-08-17,0.0,-840.9999999999997
2024-08-18,0.0,-840.9999999999997
2024-08-19,-27.0,-867.9999999999997
2024-08-20,-13.0,-880.9999999999997
2024-08-21,-36.0,-916.9999999999997
2024-08-22,-1.5999999999999999,-918.5999999999997
2024-08-23,-11.400000000000002,-929.9999999999997
2024-08-24,0.0,-929.9999999999997
2024-08-25,0.0,-929.9999999999997
2024-08-26,-26.4,-956.3999999999996
2024-08-27,-6.799999999999999,-963.1999999999996
2024-08-28,11.8,-951.3999999999996
2024-08-29,-3.3999999999999995,-954.7999999999996
2024-08-30,0.0,-954.7999999999996
2024-08-31,0.0,-954.7999999999996
2024-09-01,0.0,-954.7999999999996
2024-09-02,0.0,-954.7999999999996
2024-09-03,-94.8,-1049.5999999999997
2024-09-04,-75.0,-1124.5999999999997
2024-09-05,-0.4000000000000002,-1124.9999999999998
2024-09-06,-12.0,-1136.9999999999998
2024-09-07,0.0,-1136.9999999999998
2024-09-08,0.0,-1136.9999999999998
2024-09-09,-10.400000000000002,-1147.3999999999999
2024-09-10,22.799999999999997,-1124.6
2024-09-11,-1.0,-1125.6
2024-09-12,-40.2,-1165.8
2024-09-13,3.0,-1162.8
2024-09-14,0.0,-1162.8
2024-09-15,0.0,-1162.8
2024-09-16,-18.800000000000004,-1181.6
2024-09-17,-30.199999999999996,-1211.8
2024-09-18,-19.6,-1231.3999999999999
2024-09-19,10.4,-1220.9999999999998
2024-09-20,5.8,-1215.1999999999998
2024-09-21,0.0,-1215.1999999999998
2024-09-22,0.0,-1215.1999999999998
2024-09-23,-158.6,-1373.7999999999997
2024-09-24,125.0,-1248.7999999999997
2024-09-25,86.4,-1162.3999999999996
2024-09-26,-0.19999999999999432,-1162.5999999999997
2024-09-27,117.39999999999999,-1045.1999999999996
2024-09-28,0.0,-1045.1999999999996
2024-09-29,0.0,-1045.1999999999996
2024-09-30,-1.6000000000000008,-1046.7999999999995
2024-10-01,-97.2,-1143.9999999999995
2024-10-02,28.8,-1115.1999999999996
2024-10-03,-6.3999999999999995,-1121.5999999999997
2024-10-04,14.8,-1106.7999999999997
2024-10-05,0.0,-1106.7999999999997
2024-10-06,0.0,-1106.7999999999997
2024-10-07,0.0,-1106.7999999999997
2024-10-08,-16.2,-1122.9999999999998
2024-10-09,0.0,-1122.9999999999998
2024-10-10,6.200000000000001,-1116.7999999999997
2024-10-11,-0.19999999999999965,-1116.9999999999998
2024-10-12,0.0,-1116.9999999999998
2024-10-13,0.0,-1116.9999999999998
2024-10-14,34.0,-1082.9999999999998
2024-10-15,-25.4,-1108.3999999999999
2024-10-16,48.4,-1059.9999999999998
2024-10-17,96.8,-963.1999999999998
2024-10-18,3.8,-959.3999999999999
2024-10-19,0.0,-959.3999999999999
2024-10-20,0.0,-959.3999999999999
2024-10-21,-41.6,-1000.9999999999999
2024-10-22,23.8,-977.1999999999999
2024-10-23,2.4000000000000012,-974.8
2024-10-24,4.6,-970.1999999999999
2024-10-25,-38.4,-1008.5999999999999
2024-10-26,0.0,-1008.5999999999999
2024-10-27,0.0,-1008.5999999999999
2024-10-28,-2.2000000000000006,-1010.8
2024-10-29,15.2,-995.5999999999999
2024-10-30,8.8,-986.8
2024-10-31,26.0,-960.8
2024-11-01,-21.8,-982.5999999999999
2024-11-02,0.0,-982.5999999999999
2024-11-03,0.0,-982.5999999999999
2024-11-04,-126.4,-1109.0
2024-11-05,0.0,-1109.0
2024-11-06,104.6,-1004.4
2024-11-07,159.39999999999998,-845.0
2024-11-08,171.8,-673.2
2024-11-09,0.0,-673.2
2024-11-10,0.0,-673.2
2024-11-11,591.0,-82.20000000000005
2024-11-12,271.8,189.59999999999997
2024-11-13,293.8,483.4
2024-11-14,-6.400000000000003,477.0
2024-11-15,-119.6,357.4
2024-11-16,0.0,357.4
2024-11-17,0.0,357.4
2024-11-18,-78.2,279.2
2024-11-19,-162.60000000000002,116.59999999999997
2024-11-20,-60.6,55.999999999999964
2024-11-21,-18.0,37.999999999999964
2024-11-22,182.60000000000002,220.6
2024-11-23,0.0,220.6
2024-11-24,0.0,220.6
2024-11-25,5.800000000000001,226.4
2024-11-26,81.19999999999999,307.6
2024-11-27,180.2,487.8
2024-11-28,0.0,487.8
2024-11-29,665.8,1153.6
2024-11-30,0.0,1153.6
2024-12-01,0.0,1153.6
2024-12-02,48.39999999999999,1202.0
2024-12-03,265.2,1467.2
2024-12-04,335.40000000000003,1802.6000000000001
2024-12-05,857.0,2659.6000000000004
2024-12-06,167.6,2827.2000000000003
2024-12-07,0.0,2827.2000000000003
2024-12-08,0.0,2827.2000000000003
2024-12-09,299.6,3126.8
2024-12-10,611.4,3738.2000000000003
2024-12-11,204.0,3942.2000000000003
2024-12-12,547.4,4489.6
2024-12-13,47.2,4536.8
2024-12-14,0.0,4536.8
2024-12-15,0.0,4536.8
2024-12-16,102.2,4639.0
2024-12-17,289.4,4928.4
2024-12-18,5.000000000000009,4933.4
2024-12-19,-121.0,4812.4
2024-12-20,-150.2,4662.2
2024-12-21,0.0,4662.2
2024-12-22,0.0,4662.2
2024-12-23,261.6,4923.8
2024-12-24,107.2,5031.0
2024-12-25,0.0,5031.0
2024-12-26,234.4,5265.4
2024-12-27,95.4,5360.799999999999
2024-12-28,0.0,5360.799999999999
2024-12-29,0.0,5360.799999999999
2024-12-30,-111.0,5249.799999999999
2024-12-31,72.0,5321.799999999999
2025-01-01,0.0,5321.799999999999
2025-01-02,-155.0,5166.799999999999
2025-01-03,117.8,5284.599999999999
2025-01-04,0.0,5284.599999999999
2025-01-05,0.0,5284.599999999999
2025-01-06,257.4,5541.999999999999
2025-01-07,-173.6,5368.399999999999
2025-01-08,-318.8,5049.5999999999985
2025-01-09,0.0,5049.5999999999985
2025-01-10,-137.0,4912.5999999999985
2025-01-11,0.0,4912.5999999999985
2025-01-12,0.0,4912.5999999999985
2025-01-13,-78.8,4833.799999999998
2025-01-14,2.4,4836.199999999998
2025-01-15,119.4,4955.599999999998
2025-01-16,333.2,5288.799999999997
2025-01-17,47.8,5336.599999999998
2025-01-18,0.0,5336.599999999998
2025-01-19,0.0,5336.599999999998
2025-01-20,0.0,5336.599999999998
2025-01-21,148.8,5485.399999999998
2025-01-22,141.39999999999998,5626.799999999997
2025-01-23,-29.8,5596.999999999997
2025-01-24,18.4,5615.399999999997
2025-01-25,0.0,5615.399999999997
2025-01-26,0.0,5615.399999999997
2025-01-27,-272.4,5342.999999999997
2025-01-28,0.0,5342.999999999997
2025-01-29,-9.399999999999999,5333.599999999998
2025-01-30,135.60000000000002,5469.199999999998
2025-01-31,55.599999999999994,5524.799999999998
2025-02-01,0.0,5524.799999999998
2025-02-02,0.0,5524.799999999998
2025-02-03,167.2,5691.999999999998
2025-02-04,615.6,6307.5999999999985
2025-02-05,36.2,6343.799999999998
2025-02-06,21.4,6365.199999999998
2025-02-07,0.0,6365.199999999998
2025-02-08,0.0,6365.199999999998
2025-02-09,0.0,6365.199999999998
2025-02-10,-45.0,6320.199999999998
2025-02-11,25.2,6345.399999999998
2025-02-12,-81.8,6263.599999999998
2025-02-13,25.6,6289.199999999998
2025-02-14,23.4,6312.599999999998
2025-02-15,0.0,6312.599999999998
2025-02-16,0.0,6312.599999999998
2025-02-17,0.0,6312.599999999998
2025-02-18,9.2,6321.799999999997
2025-02-19,38.0,6359.799999999997
2025-02-20,-26.200000000000003,6333.599999999998
2025-02-21,-17.8,6315.799999999997
2025-02-22,0.0,6315.799999999997
2025-02-23,0.0,6315.799999999997
2025-02-24,-156.0,6159.799999999997
2025-02-25,-100.19999999999999,6059.599999999998
2025-02-26,-188.59999999999997,5870.999999999997
2025-02-27,-142.4,5728.599999999998
2025-02-28,-83.8,5644.799999999997
2025-03-01,0.0,5644.799999999997
2025-03-02,0.0,5644.799999999997
2025-03-03,-24.200000000000003,5620.599999999998
2025-03-04,29.199999999999996,5649.799999999997
2025-03-05,-126.6,5523.199999999997
2025-03-06,-20.0,5503.199999999997
2025-03-07,-46.2,5456.999999999997
2025-03-08,0.0,5456.999999999997
2025-03-09,0.0,5456.999999999997
2025-03-10,-75.0,5381.999999999997
2025-03-11,-43.2,5338.799999999997
2025-03-12,-20.6,5318.199999999997
2025-03-13,-147.2,5170.999999999997
2025-03-14,-93.8,5077.199999999997
2025-03-15,0.0,5077.199999999997
2025-03-16,0.0,5077.199999999997
2025-03-17,-14.6,5062.599999999997
2025-03-18,-105.6,4956.999999999996
2025-03-19,-23.400000000000002,4933.599999999997
2025-03-20,-25.0,4908.599999999997
2025-03-21,-37.2,4871.399999999997
2025-03-22,0.0,4871.399999999997
2025-03-23,0.0,4871.399999999997
2025-03-24,0.0,4871.399999999997
2025-03-25,-6.6,4864.7999999999965
2025-03-26,-11.8,4852.999999999996
2025-03-27,-8.4,4844.599999999997
2025-03-28,9.4,4853.999999999996
2025-03-29,0.0,4853.999999999996
2025-03-30,0.0,4853.999999999996
2025-03-31,12.8,4866.7999999999965
2025-04-01,-7.200000000000001,4859.599999999997
2025-04-02,-102.6,4756.999999999996
2025-04-03,-7.2,4749.7999999999965
2025-04-04,4.2,4753.999999999996
2025-04-05,0.0,4753.999999999996
2025-04-06,0.0,4753.999999999996
2025-04-07,0.0,4753.999999999996
2025-04-08,-6.6,4747.399999999996
2025-04-09,-22.4,4724.999999999996
2025-04-10,-77.6,4647.399999999996
2025-04-11,-58.400000000000006,4588.999999999996
2025-04-12,0.0,4588.999999999996
2025-04-13,0.0,4588.999999999996
2025-04-14,-12.0,4576.999999999996
2025-04-15,-28.4,4548.599999999997
2025-04-16,-24.199999999999996,4524.399999999997
2025-04-17,0.0,4524.399999999997
2025-04-18,0.0,4524.399999999997
2025-04-19,0.0,4524.399999999997
2025-04-20,0.0,4524.399999999997
2025-04-21,-50.8,4473.599999999997
2025-04-22,77.6,4551.199999999997
2025-04-23,-47.8,4503.399999999997
2025-04-24,127.0,4630.399999999997
2025-04-25,208.2,4838.599999999997
2025-04-26,0.0,4838.599999999997
2025-04-27,0.0,4838.599999999997
2025-04-28,128.2,4966.7999999999965
2025-04-29,36.8,5003.599999999997
2025-04-30,-4.6,4998.999999999996
2025-05-01,13.0,5011.999999999996
2025-05-02,40.2,5052.199999999996
2025-05-03,0.0,5052.199999999996
2025-05-04,0.0,5052.199999999996
2025-05-05,0.0,5052.199999999996
2025-05-06,-35.8,5016.399999999996
2025-05-07,-43.6,4972.799999999996
2025-05-08,-32.2,4940.599999999996
2025-05-09,35.2,4975.799999999996
2025-05-10,0.0,4975.799999999996
2025-05-11,0.0,4975.799999999996
2025-05-12,-35.2,4940.599999999996
2025-05-13,27.0,4967.599999999996
2025-05-14,127.0,5094.599999999996
2025-05-15,-79.6,5014.999999999995
2025-05-16,44.4,5059.399999999995
2025-05-17,0.0,5059.399999999995
2025-05-18,0.0,5059.399999999995
2025-05-19,27.4,5086.799999999995
2025-05-20,129.6,5216.399999999995
2025-05-21,1.199999999999998,5217.599999999995
2025-05-22,221.0,5438.599999999995
2025-05-23,117.19999999999999,5555.799999999995
2025-05-24,0.0,5555.799999999995
2025-05-25,0.0,5555.799999999995
2025-05-26,0.0,5555.799999999995
2025-05-27,77.6,5633.399999999995
2025-05-28,169.8,5803.199999999995
2025-05-29,183.8,5986.999999999995
2025-05-30,140.4,6127.399999999995
2025-05-31,0.0,6127.399999999995
2025-06-01,0.0,6127.399999999995
2025-06-02,156.4,6283.799999999995
2025-06-03,219.0,6502.799999999995
2025-06-04,114.0,6616.799999999995
2025-06-05,22.600000000000005,6639.399999999995
2025-06-06,50.6,6689.999999999995
2025-06-07,0.0,6689.999999999995
2025-06-08,0.0,6689.999999999995
2025-06-09,105.4,6795.399999999995
2025-06-10,250.0,7045.399999999995
2025-06-11,480.6,7525.999999999995
2025-06-12,224.6,7750.599999999996
2025-06-13,-4.200000000000001,7746.399999999996
2025-06-14,0.0,7746.399999999996
2025-06-15,0.0,7746.399999999996
2025-06-16,42.8,7789.199999999996
2025-06-17,22.200000000000003,7811.399999999996
2025-06-18,38.2,7849.599999999996
2025-06-19,0.0,7849.599999999996
2025-06-20,-22.6,7826.999999999995
2025-06-21,0.0,7826.999999999995
2025-06-22,0.0,7826.999999999995
2025-06-23,201.4,8028.399999999995
2025-06-24,142.6,8170.999999999995
2025-06-25,120.80000000000001,8291.799999999996
2025-06-26,-52.8,8238.999999999996
2025-06-27,155.0,8393.999999999996
2025-06-28,0.0,8393.999999999996
2025-06-29,0.0,8393.999999999996
2025-06-30,63.599999999999994,8457.599999999997
2025-07-01,81.4,8538.999999999996
2025-07-02,-3.7999999999999967,8535.199999999997
2025-07-03,297.0,8832.199999999997
2025-07-04,0.0,8832.199999999997
2025-07-05,0.0,8832.199999999997
2025-07-06,0.0,8832.199999999997
2025-07-07,124.2,8956.399999999998
2025-07-08,93.4,9049.799999999997
2025-07-09,422.6,9472.399999999998
2025-07-10,766.2,10238.599999999999
2025-07-11,409.79999999999995,10648.399999999998
2025-07-12,0.0,10648.399999999998
2025-07-13,0.0,10648.399999999998
2025-07-14,518.0,11166.399999999998
2025-07-15,384.6,11550.999999999998
2025-07-16,1453.2000000000003,13004.199999999999
2025-07-17,1204.0,14208.199999999999
2025-07-18,805.0,15013.199999999999
2025-07-19,0.0,15013.199999999999
2025-07-20,0.0,15013.199999999999
2025-07-21,593.0,15606.199999999999
2025-07-22,1067.6,16673.8
2025-07-23,664.4000000000001,17338.2
2025-07-24,462.4,17800.600000000002
2025-07-25,905.6,18706.2
2025-07-26,0.0,18706.2
2025-07-27,0.0,18706.2
2025-07-28,130.39999999999998,18836.600000000002
2025-07-29,437.2,19273.800000000003
2025-07-30,11.6,19285.4
2025-07-31,34.0,19319.4
2025-08-01,-304.6,19014.800000000003
2025-08-02,0.0,19014.800000000003
2025-08-03,0.0,19014.800000000003
2025-08-04,-930.2,18084.600000000002
2025-08-05,146.59999999999997,18231.2
2025-08-06,70.19999999999999,18301.4
2025-08-07,444.6,18746.0
2025-08-08,922.0,19668.0
2025-08-09,0.0,19668.0
2025-08-10,0.0,19668.0
2025-08-11,2037.6,21705.6
2025-08-12,1047.8,22753.399999999998
2025-08-13,1458.1999999999998,24211.6
2025-08-14,1279.2,25490.8
2025-08-15,-118.59999999999997,25372.2
2025-08-16,0.0,25372.2
2025-08-17,0.0,25372.2
2025-08-18,-393.20000000000005,24979.0
2025-08-19,-859.2,24119.8
2025-08-20,-480.4,23639.399999999998
2025-08-21,575.2,24214.6
2025-08-22,682.4,24897.0
2025-08-23,0.0,24897.0
2025-08-24,0.0,24897.0
2025-08-25,887.8,25784.8
2025-08-26,910.0,26694.8
2025-08-27,619.0,27313.8
2025-08-28,78.19999999999999,27392.0
2025-08-29,-329.20000000000005,27062.8
